index,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
3223,Parkers,Scotland,4,1,72.00,F
3224,Parkmore,Scotland,2,1,87.00,C
3229,Passport,Scotland,13,4,74.33,F
3231,Patrick Breindl,Switzerland,1,1,65.00,G
3232,Paul John,India,84,62,84.32,D
3234,Peach Street Distillers,United States,3,1,78.25,E
3237,Peaky Blinder,Ireland,1,1,79.33,E
3238,Pearse,Ireland,9,7,79.29,E
3239,Pearse Lyons,United States,2,1,80.00,D
3240,Peat,Scotland,5,4,84.86,D
3241,Peat 2 Peat,Scotland,1,1,90.00,B
3242,Peat at the Foot of the River,Scotland,1,1,86.00,C
3243,Peat Bog,Scotland,10,10,85.21,C
3244,Peat Chimney,Scotland,9,8,80.63,D
3245,Peat Dreams,Scotland,1,1,84.91,D
3246,Peat Freak,Scotland,1,1,85.00,C
3247,Peat Peak,Scotland,1,1,82.25,D
3248,Peat Reek,Scotland,55,41,85.23,C
3249,Peat's Beast,Scotland,6,5,83.90,D
3251,Peated Highland,Scotland,16,15,83.67,D
3253,Peated Young Malt,Denmark,1,1,73.50,F
3254,Peatfire!,Scotland,1,1,82.00,D
3255,Peatland,Scotland,1,1,77.00,E
3257,Peatside,Scotland,13,10,83.60,D
3258,Peaty Five,Scotland,6,3,84.44,D
3259,Peaty Overaged Malt Whisky,France,1,1,90.00,B
3260,Pebble Beach,Scotland,1,1,83.25,D
3261,Peerless,United States,2,1,89.00,C
3263,Pelter,Israel,1,1,78.50,E
3264,Pemberton Distillery,Canada,5,2,82.00,D
3265,Penderyn,United Kingdom,108,80,82.78,D
3266,Pendleton,Canada,5,3,71.39,F
3267,PennyPacker,United States,5,4,69.31,G
3274,Peter Affenzeller,Austria,6,3,68.97,G
3275,Peter Dawson,Scotland,16,2,76.50,E
3277,Pfälzer Leidenschaft,Germany,5,3,84.61,D
3278,Pfanner,Austria,9,8,75.66,E
3279,Pfau Brennerei,Austria,4,1,59.50,G
3281,Phenomenology,Scotland,2,2,87.40,C
3285,Pig's Nose,Scotland,5,5,76.32,E
3286,Pike Creek,Canada,7,7,80.98,D
3287,Pikesville,United States,3,3,80.90,D
3288,Pillage,Scotland,2,2,86.67,C
3289,Pillaged,Scotland,1,1,90.50,B
3290,Pinch,Scotland,6,4,79.58,E
3291,Pine Barrens,United States,17,3,80.33,D
3293,Pinwinnie,Scotland,9,4,76.61,E
3294,Pipe House,Germany,3,1,57.00,G
3299,Pittyvaich,Scotland,90,54,83.88,D
3301,Platte Valley,United States,6,3,71.61,F
3304,Pluscarden,Scotland,4,4,87.86,C
3305,Pluscarden Valley,Scotland,3,2,90.75,B
3306,Plutonia,Scotland,5,5,87.79,C
3308,Poit Dhubh,Scotland,31,21,84.12,D
3310,Pommerscher Greif,Germany,10,10,72.60,F
3311,Popcorn Sutton,United States,3,1,60.00,G
3312,Port Askaig,Scotland,23,23,86.87,C
3313,Port Cask,Scotland,2,2,89.63,C
3314,Port Charlotte,Scotland,495,418,87.74,C
3316,Port Dundas,Scotland,125,96,85.72,C
3317,Port Ellen,Scotland,1049,832,89.63,C
3318,Portside,Scotland,1,1,87.76,C
3319,Portsoy,Scotland,1,1,85.88,C
3321,Potter,Canada,7,6,83.18,D
3323,Pow-wow,United States,2,2,72.88,F
3324,Powers,Ireland,28,17,81.60,D
3325,Praskoveyskoe,Russian Federation,5,3,58.17,G
3328,Premiers Choice,Scotland,2,2,83.13,D
3329,President,Scotland,4,3,81.78,D
