Brand_ID,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
1437,Fyr Drenc,United Kingdom,3,1,87,C
1438,G. Rozelieures,France,12,8,78.07,E
1439,G.I. Whiskey,United States,2,NA,NA,G
1440,Gairloch,Scotland,1,NA,NA,G
1441,Galahad,Scotland,1,1,86.33,C
1442,Galena Reserve,United States,1,NA,NA,G
1443,Gall huiswhisky,Ireland,1,1,69.75,G
1444,Gallagher & Burton's,United States,1,NA,NA,G
1445,Gallantry,United States,2,1,64,G
1446,Galleg,France,1,1,55.67,G
1447,Gammelstilla,Sweden,2,2,85.84,C
1448,Gantree's,United States,1,NA,NA,G
1449,Garavan's,Ireland,1,NA,NA,G
1450,Garn Kirk,Scotland,1,NA,NA,G
1451,Garnheath,Scotland,26,21,86.63,C
1452,Garrison Brothers,United States,12,6,78.12,E
1453,Garryana,United States,2,2,89.5,C
1454,Gasthof Hirsch,Germany,1,1,58,G
1455,Gäu Whisky,Germany,5,1,83,D
1456,Gelephu,Bhutan,1,NA,NA,G
1457,Gelston's,Ireland,3,2,88.75,C
1458,Gemenc,Hungary,2,1,78,E
1459,Gemikste Schotse klap in je smoel uit Rotterdam,Netherlands,1,1,79,E
